Intent,Question,Answer
question_data_set,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade ."
question_data_set,how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .
question_data_set,how a water pump works,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid."
question_data_set,"how big is bmc software in houston, tx","Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs."
question_data_set,"how big is bmc software in houston, tx","For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year."
question_data_set,how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.
question_data_set,how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.
question_data_set,how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.
question_data_set,how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion."
question_data_set,how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet ."
question_data_set,how old was sue lyon when she made lolita,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming."
question_data_set,how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms."
question_data_set,how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945."
question_data_set,how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.
question_data_set,how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.
question_data_set,how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996."
question_data_set,how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943."
question_data_set,how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses ."
question_data_set,how are antibodies used in,"The antibody recognizes a unique part of the foreign target, called an antigen ."
question_data_set,how are antibodies used in,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision."
question_data_set,how are antibodies used in,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival)."
question_data_set,how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom."
question_data_set,how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381."
question_data_set,"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author."
question_data_set,how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist ."
question_data_set,how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS)."
question_data_set,how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office."
question_data_set,HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ ""."
question_data_set,How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year."
question_data_set,how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer."
question_data_set,how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center."
question_data_set,how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on."
question_data_set,how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president."
question_data_set,how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades."
question_data_set,how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation ."
question_data_set,how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government."
question_data_set,what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .
question_data_set,what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.
question_data_set,how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library."
question_data_set,how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return."
question_data_set,what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player."
question_data_set,what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .
question_data_set,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam."
question_data_set,how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota )."
question_data_set,how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.
question_data_set,how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework."
question_data_set,how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements."
question_data_set,how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.
question_data_set,what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species ."
question_data_set,how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance."
question_data_set,What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are."
question_data_set,How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone."
question_data_set,"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .
question_data_set,what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks."
question_data_set,What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.
question_data_set,how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.
question_data_set,How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .
question_data_set,how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing."
question_data_set,how is whooping cough distinguished from similar diseases,The coughing stage lasts approximately six weeks before subsiding.
question_data_set,what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.
question_data_set,what cities are in the bahamas,Nassau
question_data_set,what cities are in the bahamas,"Freeport, Bahamas"
question_data_set,how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east."
question_data_set,how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient."
question_data_set,how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer)."
question_data_set,what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate ."
question_data_set,what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54)."
question_data_set,what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.
question_data_set,what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21)."
question_data_set,what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65)."
question_data_set,what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky ."
question_data_set,what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).
